id,parent_id,slug,name_en,name_ar
1,,the-noble-qur'an-and-qur'anic-sciences-en,The Noble Qur'an and Qur'anic Sciences,القرآن الكريم وعلومه
2,,the-hadith-and-hadith-sciences-en,The Hadith and Hadith Sciences,الحديث وعلومه
3,,the-creed-en,The Creed,العقيدة
4,,jurisprudence-and-juristic-principles-en,Jurisprudence and Juristic Principles,الفقه وأصوله
5,,virtues-and-manners-en,Virtues and Manners,الفضائل والآداب
6,,da‘wah-and-hisbah-en,Da‘wah and Hisbah,الدعوة والحسبة
7,,seerah-and-history-en,Seerah and History,السيرة والتاريخ
8,1,revelation-and-collection-of-the-qur'an-en,Revelation and Collection of the Qur'an,نزول القرآن وجمعه
9,1,modes-of-qur'anic-recitation-and-tajweed-en,Modes of Qur'anic Recitation and Tajweed,القراءات والتجويد
10,1,qur'anic-exegesis-en,Qur'anic Exegesis,تفسير القرآن
11,1,general-qur'anic-topics-en,General Qur'anic Topics,مباحث قرآنية عامة
12,1,excellence-of-the-qur'an-en,Excellence of the Qur'an,فضائل القرآن
13,8,category-13,Seerah and History,معنى القرآن وأوصافه
14,8,occasions-of-revelation-en,Occasions of Revelation,أسباب النزول
15,1,modes-of-quranic-recitation-and-tajweed,Modes of Qur'anic Recitation and Tajweed,Modes of Qur'anic Recitation and Tajweed
16,8,abrogating-and-abrogated-verses-en,Abrogating and Abrogated Verses,الناسخ والمنسوخ
17,8,collecting-the-qur'an-en,Collecting the Qur'an,جمع القرآن
18,9,seven-modes-of-the-qur'anic-revelation-en,Seven Modes of the Qur'anic Revelation,الأحرف السبعة
19,9,category-19,Occasions of Revelation,القراءات
20,9,science-of-tajweed-en,Science of Tajweed,علم التجويد
21,9,stops-and-starts-en,Stops and Starts,الوقف والابتداء
22,9,seven-modes-of-the-quranic-revelation,Seven Modes of the Qur'anic Revelation,Seven Modes of the Qur'anic Revelation
23,9,science-of-tajweed,Science of Tajweed,Science of Tajweed
24,10,rules-and-principles-of-exegesis-en,Rules and Principles of Exegesis,أصول التفسير وقواعده
25,10,rules-and-principles-of-exegesis,Rules and Principles of Exegesis,Rules and Principles of Exegesis
26,11,rulings-of-the-quran-and-codices,Rulings of the Qur'an and Codices,Rulings of the Qur'an and Codices
27,11,manners-of-reading-and-memorizing-the-quran,Manners of Reading and Memorizing the Qur'an,Manners of Reading and Memorizing the Qur'an
28,11,refuting-allegations-against-the-quran,Refuting Allegations against the Qur'an,Refuting Allegations against the Qur'an
29,11,rulings-of-the-qur'an-and-codices-en,Rulings of the Qur'an and Codices,أحكام القرآن والمصاحف
30,12,merit-of-taking-care-of-the-quran,Merit of Taking Care of the Qur'an,Merit of Taking Care of the Qur'an
31,11,manners-of-reading-and-memorizing-the-qur'an-en,Manners of Reading and Memorizing the Qur'an,آداب قراءة القرآن وحملته
32,11,refuting-allegations-against-the-qur'an-en,Refuting Allegations against the Qur'an,رد الشبهات حول القرآن
33,11,category-33,,قصص القرآن
35,3,belief-in-allah-the-mighty-and-majestic,Belief in Allah the Mighty and Majestic,Belief in Allah the Mighty and Majestic
36,3,belief-in-the-angels,Belief in the Angels,Belief in the Angels
37,3,belief-in-the-revealed-books,Belief in the Revealed Books,Belief in the Revealed Books
